"date","hour_int","load","weekday_int","month_int"
2022-08-05 00:00:00,0,44224.5,6,8
2022-08-05 01:00:00,1,42715.75,6,8
2022-08-05 02:00:00,2,42553.75,6,8
2022-08-05 03:00:00,3,42053.5,6,8
2022-08-05 04:00:00,4,42356,6,8
2022-08-05 05:00:00,5,45150.25,6,8
2022-08-05 06:00:00,6,50824,6,8
2022-08-05 07:00:00,7,55751.75,6,8
2022-08-05 08:00:00,8,58912,6,8
2022-08-05 09:00:00,9,60254.25,6,8
2022-08-05 10:00:00,10,62252,6,8
2022-08-05 11:00:00,11,62733.5,6,8
2022-08-05 12:00:00,12,61524.75,6,8
2022-08-05 13:00:00,13,60577.25,6,8
2022-08-05 14:00:00,14,59756.5,6,8
2022-08-05 15:00:00,15,59203.75,6,8
2022-08-05 16:00:00,16,59084.75,6,8
2022-08-05 17:00:00,17,59355.75,6,8
2022-08-05 18:00:00,18,58220.25,6,8
2022-08-05 19:00:00,19,55804.5,6,8
2022-08-05 20:00:00,20,52427.25,6,8
2022-08-05 21:00:00,21,50380,6,8
2022-08-05 22:00:00,22,48087.25,6,8
2022-08-05 23:00:00,23,45501.5,6,8
2022-08-06 00:00:00,0,43082.5,7,8
2022-08-06 01:00:00,1,41314.25,7,8
2022-08-06 02:00:00,2,40317.25,7,8
2022-08-06 03:00:00,3,39723,7,8
2022-08-06 04:00:00,4,39922.75,7,8
2022-08-06 05:00:00,5,40025.75,7,8
2022-08-06 06:00:00,6,41152.5,7,8
2022-08-06 07:00:00,7,43403.25,7,8
2022-08-06 08:00:00,8,46679.25,7,8
2022-08-06 09:00:00,9,49663,7,8
2022-08-06 10:00:00,10,52036.5,7,8
2022-08-06 11:00:00,11,52904.25,7,8
2022-08-06 12:00:00,12,52146.25,7,8
2022-08-06 13:00:00,13,50733.25,7,8
2022-08-06 14:00:00,14,49849.25,7,8
2022-08-06 15:00:00,15,49177.5,7,8
2022-08-06 16:00:00,16,48398.25,7,8
2022-08-06 17:00:00,17,48281,7,8
2022-08-06 18:00:00,18,47450.5,7,8
2022-08-06 19:00:00,19,46507.25,7,8
2022-08-06 20:00:00,20,44836.75,7,8
2022-08-06 21:00:00,21,44089.25,7,8
2022-08-06 22:00:00,22,42794.5,7,8
2022-08-06 23:00:00,23,40429.75,7,8
2022-08-07 00:00:00,0,38068.75,1,8
2022-08-07 01:00:00,1,36530.75,1,8
2022-08-07 02:00:00,2,35707,1,8
2022-08-07 03:00:00,3,35094.75,1,8
2022-08-07 04:00:00,4,35122.75,1,8
2022-08-07 05:00:00,5,35048.75,1,8
2022-08-07 06:00:00,6,35270.5,1,8
2022-08-07 07:00:00,7,37134.25,1,8
2022-08-07 08:00:00,8,40478.5,1,8
2022-08-07 09:00:00,9,43288.25,1,8
2022-08-07 10:00:00,10,45028.75,1,8
2022-08-07 11:00:00,11,46690.25,1,8
2022-08-07 12:00:00,12,46882.75,1,8
2022-08-07 13:00:00,13,45408,1,8
2022-08-07 14:00:00,14,44441.75,1,8
2022-08-07 15:00:00,15,43957.25,1,8
2022-08-07 16:00:00,16,43869.25,1,8
2022-08-07 17:00:00,17,43943.75,1,8
2022-08-07 18:00:00,18,44645.75,1,8
2022-08-07 19:00:00,19,44654.75,1,8
2022-08-07 20:00:00,20,44579,1,8
2022-08-07 21:00:00,21,44865.75,1,8
2022-08-07 22:00:00,22,43675,1,8
2022-08-07 23:00:00,23,41145.75,1,8
2022-08-08 00:00:00,0,39510.5,2,8
2022-08-08 01:00:00,1,38496.25,2,8
2022-08-08 02:00:00,2,37604.25,2,8
2022-08-08 03:00:00,3,37559.25,2,8
2022-08-08 04:00:00,4,38373.5,2,8
2022-08-08 05:00:00,5,41273,2,8
2022-08-08 06:00:00,6,47601.75,2,8
2022-08-08 07:00:00,7,52687.5,2,8
2022-08-08 08:00:00,8,56394,2,8
2022-08-08 09:00:00,9,57970,2,8
2022-08-08 10:00:00,10,59091.25,2,8
2022-08-08 11:00:00,11,60306,2,8
2022-08-08 12:00:00,12,60577,2,8
2022-08-08 13:00:00,13,59415.25,2,8
2022-08-08 14:00:00,14,57993.25,2,8
2022-08-08 15:00:00,15,56871.25,2,8
2022-08-08 16:00:00,16,56096.5,2,8
2022-08-08 17:00:00,17,55792.25,2,8
2022-08-08 18:00:00,18,55417.25,2,8
2022-08-08 19:00:00,19,55002.75,2,8
2022-08-08 20:00:00,20,53532.75,2,8
2022-08-08 21:00:00,21,52048.75,2,8
2022-08-08 22:00:00,22,48919,2,8
2022-08-08 23:00:00,23,45576,2,8
2022-08-09 00:00:00,0,43186.5,3,8
2022-08-09 01:00:00,1,41826,3,8
2022-08-09 02:00:00,2,40578.5,3,8
2022-08-09 03:00:00,3,40693.5,3,8
2022-08-09 04:00:00,4,41437,3,8
2022-08-09 05:00:00,5,43947.5,3,8
2022-08-09 06:00:00,6,49720.25,3,8
2022-08-09 07:00:00,7,54417,3,8
2022-08-09 08:00:00,8,57703,3,8
2022-08-09 09:00:00,9,58751.25,3,8
2022-08-09 10:00:00,10,60047.5,3,8
2022-08-09 11:00:00,11,61331.5,3,8
2022-08-09 12:00:00,12,61171,3,8
2022-08-09 13:00:00,13,60717.25,3,8
2022-08-09 14:00:00,14,59440,3,8
2022-08-09 15:00:00,15,58134.25,3,8
2022-08-09 16:00:00,16,56789.5,3,8
2022-08-09 17:00:00,17,56055.5,3,8
2022-08-09 18:00:00,18,55875.5,3,8
2022-08-09 19:00:00,19,55467.75,3,8
2022-08-09 20:00:00,20,53650.5,3,8
2022-08-09 21:00:00,21,52454.25,3,8
2022-08-09 22:00:00,22,49047.5,3,8
2022-08-09 23:00:00,23,45707.75,3,8
2022-08-10 00:00:00,0,43363.25,4,8
2022-08-10 01:00:00,1,41933.75,4,8
2022-08-10 02:00:00,2,40738,4,8
2022-08-10 03:00:00,3,41091.75,4,8
2022-08-10 04:00:00,4,41882.5,4,8
2022-08-10 05:00:00,5,44341.5,4,8
2022-08-10 06:00:00,6,49859.75,4,8
2022-08-10 07:00:00,7,54395.75,4,8
2022-08-10 08:00:00,8,57616.75,4,8
2022-08-10 09:00:00,9,58957.25,4,8
